===========  Loading files ===========
Loading ./doc/evaluation/dynamic-object-manipulation-es5.js
===========  Data flow analysis ===========
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 1, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:10:15 (node transfers: 5, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:10:15 (node transfers: 12, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 13, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:2:11 (node transfers: 15, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:2:39 (node transfers: 19, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:2:2 (node transfers: 20, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 22, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 23, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 25, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 26, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 28, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 39, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 43, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 45, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 46, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 48, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 59, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 63, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 65, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 66, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 67, worklist size: 7)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 69, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 70, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 72, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 83, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:59 (node transfers: 87, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 91, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 93, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 94, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 96, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 107, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:59 (node transfers: 111, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 115, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 117, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 118, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 119, worklist size: 7)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 121, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 122, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 124, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 135, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:59 (node transfers: 139, worklist size: 6)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 143, worklist size: 5)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 145, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:2 (node transfers: 146, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:3:11 (node transfers: 148, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:45 (node transfers: 159, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:59 (node transfers: 163, worklist size: 4)
./doc/evaluation/dynamic-object-manipulation-es5.js:4:3 (node transfers: 167, worklist size: 3)
./doc/evaluation/dynamic-object-manipulation-es5.js:5:2 (node transfers: 169, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:7:9 (node transfers: 170, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:8:1 (node transfers: 171, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:10:15 (node transfers: 172, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:11:17 (node transfers: 175, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 181, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 182, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 183, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 184, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 185, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 186, worklist size: 2)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 187, worklist size: 1)
./doc/evaluation/dynamic-object-manipulation-es5.js:1:1 (node transfers: 188, worklist size: 1)
===========  Scan ===========
./doc/evaluation/dynamic-object-manipulation-es5.js:2:2: [definite] The assignment to target has no effect
./doc/evaluation/dynamic-object-manipulation-es5.js:2:11: [definite] The conditional expression is always false
./doc/evaluation/dynamic-object-manipulation-es5.js:11:17: [definite] The conditional expression is always false
./doc/evaluation/dynamic-object-manipulation-es5.js:11:21: [definite] Reading absent property rnds
